date,value
2023-05-01,32.483570765056164
2023-05-02,30.22187295419837
2023-05-03,35.05849312968868
2023-05-04,40.32942553817774
2023-05-05,32.41890660983456
2023-05-06,33.26949792830949
2023-05-07,43.15599237296197
2023-05-08,39.8804353677348
2023-05-09,34.43743140067426
2023-05-10,40.19228224270452
2023-05-11,35.80548425398511
2023-05-12,36.38108245100707
2023-05-13,40.44683766460994
2023-05-14,30.134567534828413
2023-05-15,31.473947945750126
2023-05-16,37.61576231449337
2023-05-17,35.62077907516512
2023-05-18,42.441478973515366
2023-05-19,36.44203829758946
2023-05-20,33.958742956102604
2023-05-21,48.31291720652749
2023-05-22,39.74717964961106
2023-05-23,41.03327180370044
2023-05-24,33.32137752628255
2023-05-25,37.40486421595909
2023-05-26,40.29797633260139
2023-05-27,33.5431421342003
2023-05-28,40.67319935229906
2023-05-29,35.23408848911554
2023-05-30,36.17187904444697
2023-05-31,33.97025903090144
2023-06-01,45.549220484225415
2023-06-02,35.49547976286478
2023-06-03,29.521402412532183
2023-06-04,38.147491432610586
2023-06-05,27.139304653462762
2023-06-06,33.48678923024994
2023-06-07,21.8395798268832
2023-06-08,24.19531451239689
2023-06-09,31.02804356624862
2023-06-10,32.95899666876783
2023-06-11,29.368006787093293
2023-06-12,27.2049829916179
2023-06-13,25.583101069750587
2023-06-14,19.040273438784034
2023-06-15,22.222040483485145
2023-06-16,22.9554799761827
2023-06-17,30.035289277169063
2023-06-18,26.016528065136658
2023-06-19,15.093484191180204
2023-06-20,25.204124762879914
2023-06-21,21.400888540760928
2023-06-22,19.754164593880596
2023-06-23,26.081298913779474
2023-06-24,28.13498561718523
2023-06-25,27.667107780184153
2023-06-26,18.919164598063443
2023-06-27,21.747193331806592
2023-06-28,25.200123078874306
2023-06-29,28.743184078506935
2023-06-30,21.86037070674543
2023-07-01,23.785380096839045
2023-07-02,19.70310942226087
2023-07-03,19.83509316045496
2023-07-04,30.516441783157433
2023-07-05,33.92473931706037
2023-07-06,27.520566658926384
2023-07-07,33.677673298737865
2023-07-08,31.284543369038154
2023-07-09,27.098458327048913
2023-07-10,33.00421354320278
2023-07-11,39.780038297237056
2023-07-12,32.81660018160011
2023-07-13,41.7317940938327
2023-07-14,21.72333035335282
2023-07-15,39.83934248652196
2023-07-16,37.06083496842665
2023-07-17,36.008118282920734
2023-07-18,38.81522472854043
2023-07-19,29.241656483548844
2023-07-20,38.86836309858164
2023-07-21,42.49823977758575
2023-07-22,48.80173074988384
2023-07-23,39.46936096262434
2023-07-24,38.61117971640706
2023-07-25,40.67830846314845
2023-07-26,48.23452585500216
2023-07-27,45.70559873270779
2023-07-28,41.74869511058446
2023-07-29,47.22873701786915
2023-07-30,45.340390221815014
2023-07-31,49.817510901823624
2023-08-01,41.509508102676186
2023-08-02,43.35322277408489
2023-08-03,42.92963751432037
2023-08-04,37.39928551588088
2023-08-05,45.95386451939975
2023-08-06,45.46686587093027
2023-08-07,43.81011190247765
2023-08-08,42.17238069329962
2023-08-09,35.770698046843044
2023-08-10,40.1921034189582
2023-08-11,39.979559907181866
2023-08-12,37.03442307712009
2023-08-13,39.55211575043712
2023-08-14,41.657069815174125
2023-08-15,48.31728544066044
2023-08-16,38.98599955953098
2023-08-17,38.61094438054501
2023-08-18,36.15060846502054
2023-08-19,26.12450463989918
2023-08-20,34.78353487900701
2023-08-21,34.423547127228886
2023-08-22,45.659711041175186
2023-08-23,31.623767567062433
2023-08-24,33.36234864494489
2023-08-25,30.982861262898655
2023-08-26,24.653165798455692
2023-08-27,35.59440970288546
2023-08-28,33.072258332830664
2023-08-29,32.75320394238231
2023-08-30,23.793914618384726
2023-08-31,34.958767440157914
2023-09-01,20.603949138016773
2023-09-02,30.28321535728128
2023-09-03,38.10660559111378
2023-09-04,22.07855639668879
2023-09-05,24.149485759682467
2023-09-06,27.50256857847593
2023-09-07,24.58410349588043
2023-09-08,19.518853863116924
2023-09-09,27.858338130073598
2023-09-10,22.518627156308188
2023-09-11,30.58208160593167
2023-09-12,24.067892246460215
2023-09-13,36.92957452254974
2023-09-14,25.839122605649763
2023-09-15,28.77732050455085
2023-09-16,35.13994157022324
